GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bank Masking Spring Boot Starter,com.p11.masking.logback,MaskingTurboFilter,72,0,24,0,17,0,15,0,3,0
Bank Masking Spring Boot Starter,com.p11.masking.config,MaskingProperties,0,65,1,3,0,21,1,12,0,11
Bank Masking Spring Boot Starter,com.p11.masking.config,MaskingAutoConfiguration,60,0,2,0,15,0,5,0,4,0
Bank Masking Spring Boot Starter,com.p11.masking.core,MaskStyle.new MaskStyle() {...},0,36,0,4,0,7,0,4,0,2
Bank Masking Spring Boot Starter,com.p11.masking.core,MaskStyle.new MaskStyle() {...},0,46,0,6,0,9,0,5,0,2
Bank Masking Spring Boot Starter,com.p11.masking.core,MaskingService,36,39,6,6,9,11,5,7,2,4
Bank Masking Spring Boot Starter,com.p11.masking.core,MaskStyle.new MaskStyle() {...},0,18,0,4,0,4,0,4,0,2
Bank Masking Spring Boot Starter,com.p11.masking.core,MaskStyle,0,21,0,0,0,4,0,1,0,1
Bank Masking Spring Boot Starter,com.p11.masking.jackson,MaskingPropertyWriter,38,58,9,5,11,17,7,4,1,3
Bank Masking Spring Boot Starter,com.p11.masking.jackson,MaskingBeanSerializerModifier,2,53,2,8,1,11,2,6,0,3
